site,mg,mg2,cultivar,phenology,date,phenology.num,yield,pd,author
Stoneville,6.2,early6,6202-4,R5,8/23/2012,8,3942.730504,6/6/2012,Salmeron
Stoneville,6.2,early6,6202-4,R6,9/4/2012,9,3942.730504,6/6/2012,Salmeron
Stoneville,6.2,early6,6202-4,R7,10/9/2012,10,3942.730504,6/6/2012,Salmeron
Stoneville,6.2,early6,6202-4,R8,11/7/2012,11,3942.730504,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,VE,6/13/2012,1,4226.644049,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,R1,7/6/2012,4,4226.644049,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,R2,7/16/2012,5,4226.644049,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,R5,8/9/2012,8,4226.644049,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,R6,8/26/2012,9,4226.644049,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,R7,9/10/2012,10,4226.644049,6/6/2012,Salmeron
Stoneville,4.7,late4,AG4732,R8,10/10/2012,11,4226.644049,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,VE,6/13/2012,1,5286.600192,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,R1,7/7/2012,4,5286.600192,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,R2,7/18/2012,5,5286.600192,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,R5,8/6/2012,8,5286.600192,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,R6,8/20/2012,9,5286.600192,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,R7,9/10/2012,10,5286.600192,6/6/2012,Salmeron
Stoneville,4.9,late4,REV49R11,R8,10/10/2012,11,5286.600192,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,VE,6/13/2012,1,3158.756587,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R1,7/6/2012,4,3158.756587,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R2,7/16/2012,5,3158.756587,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R5,8/6/2012,8,3158.756587,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R6,8/26/2012,9,3158.756587,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R7,9/10/2012,10,3158.756587,6/6/2012,Salmeron
Stoneville,4.4,late4,P94Y40,R8,10/10/2012,11,3158.756587,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,VE,6/13/2012,1,4004.677235,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,R1,7/10/2012,4,4004.677235,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,R2,7/20/2012,5,4004.677235,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,R5,8/6/2012,8,4004.677235,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,R6,8/27/2012,9,4004.677235,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,R7,9/10/2012,10,4004.677235,6/6/2012,Salmeron
Stoneville,4.2,early4,42-M1,R8,10/10/2012,11,4004.677235,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,VE,4/1/2012,1,1656.056857,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R1,5/6/2012,4,1656.056857,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R2,5/9/2012,5,1656.056857,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R5,5/27/2012,8,1656.056857,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R6,6/17/2012,9,1656.056857,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R7,6/27/2012,10,1656.056857,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R8,7/16/2012,11,1656.056857,3/25/2012,Salmeron
